janela,data,numero_fatura,valor_total,campanha,imposto,situacao,arquivo
01-05 a 08-06,2026-05-19,(sem nº — aporte de saldo),"2700,00",,,aporte de saldo,Glauber_Meta_2026-05-19_APORTE-SEM-NF.pdf
01-05 a 08-06,2026-05-21,FBADS-757-106009177,"566,96","498,08","68,88",paga,Glauber_Meta_2026-05-21_NF106009177.pdf
01-05 a 08-06,2026-05-22,FBADS-757-106014899,"366,18","321,69","44,49",paga,Glauber_Meta_2026-05-22_NF106014899.pdf
01-05 a 08-06,2026-05-23,FBADS-757-106020065,"428,73","376,64","52,09",paga,Glauber_Meta_2026-05-23_NF106020065.pdf
01-05 a 08-06,2026-05-24,FBADS-757-106024686,"630,01","553,47","76,54",paga,Glauber_Meta_2026-05-24_NF106024686.pdf
01-05 a 08-06,2026-05-25,FBADS-757-106029255,"708,12","622,09","86,03",paga,Glauber_Meta_2026-05-25_NF106029255.pdf
01-05 a 08-06,2026-05-25,FBADS-757-106031047,"179,34","157,55","21,79",paga,Glauber_Meta_2026-05-25_NF106031047.pdf
01-05 a 08-06,2026-05-25,FBADS-757-106031048,"98,02","86,11","11,91",paga,Glauber_Meta_2026-05-25_NF106031048.pdf
01-05 a 08-06,2026-05-27,FBADS-757-106038902,"1435,36","1260,97","174,39",paga,Glauber_Meta_2026-05-27_NF106038902.pdf
01-05 a 08-06,2026-05-27,FBADS-757-106041900,"972,65","854,48","118,17",paga,Glauber_Meta_2026-05-27_NF106041900.pdf
01-05 a 08-06,2026-05-29,FBADS-757-106048808,"1411,60","1240,09","171,51",paga,Glauber_Meta_2026-05-29_NF106048808.pdf
01-05 a 08-06,2026-05-29,FBADS-757-106052392,"764,49","671,61","92,88",paga,Glauber_Meta_2026-05-29_NF106052392.pdf
01-05 a 08-06,2026-05-31,FBADS-757-106061178,"376,15","330,45","45,70",paga,Glauber_Meta_2026-05-31_NF106061178.pdf
09-06 a 07-07,2026-06-11,FBADS-757-106112336,"813,02","714,24","98,78",paga,Glauber_Meta_2026-06-11_NF106112336.pdf
09-06 a 07-07,2026-06-11,FBADS-757-106112341,"569,16","500,01","69,15",paga,Glauber_Meta_2026-06-11_NF106112341.pdf
09-06 a 07-07,2026-06-11,FBADS-757-106114146,"3,71","3,26","0,45",paga,Glauber_Meta_2026-06-11_NF106114146.pdf
09-06 a 07-07,2026-06-11,FBADS-757-106114151,"259,04","227,57","31,47",paga,Glauber_Meta_2026-06-11_NF106114151.pdf
09-06 a 07-07,2026-06-12,FBADS-757-106116741,"1,24","1,09","0,15",paga,Glauber_Meta_2026-06-12_NF106116741.pdf
09-06 a 07-07,2026-06-12,FBADS-757-106116750,"323,90","284,55","39,35",paga,Glauber_Meta_2026-06-12_NF106116750.pdf
09-06 a 07-07,2026-06-13,FBADS-757-106121304,"31,30","27,50","3,80",paga,Glauber_Meta_2026-06-13_NF106121304.pdf
09-06 a 07-07,2026-06-13,FBADS-757-106122574,"4,09","3,59","0,50",paga,Glauber_Meta_2026-06-13_NF106122574.pdf
09-06 a 07-07,2026-06-13,FBADS-757-106122591,"318,72","280,00","38,72",paga,Glauber_Meta_2026-06-13_NF106122591.pdf
09-06 a 07-07,2026-06-13,FBADS-757-106123069,"187,00","164,28","22,72",paga,Glauber_Meta_2026-06-13_NF106123069.pdf
09-06 a 07-07,2026-06-13,FBADS-757-106124444,"208,84","183,47","25,37",paga,Glauber_Meta_2026-06-13_NF106124444.pdf
09-06 a 07-07,2026-06-14,FBADS-757-106127853,"4,99","4,38","0,61",paga,Glauber_Meta_2026-06-14_NF106127853.pdf
09-06 a 07-07,2026-06-14,FBADS-757-106127857,"576,42","506,39","70,03",paga,Glauber_Meta_2026-06-14_NF106127857.pdf
09-06 a 07-07,2026-06-15,FBADS-757-106131962,"596,24","523,80","72,44",paga,Glauber_Meta_2026-06-15_NF106131962.pdf
09-06 a 07-07,2026-06-17,FBADS-757-106141837,"2531,02","2223,51","307,51",paga,Glauber_Meta_2026-06-17_NF106141837.pdf
09-06 a 07-07,2026-06-17,FBADS-757-106141842,"863,00","758,15","104,85",paga,Glauber_Meta_2026-06-17_NF106141842.pdf
09-06 a 07-07,2026-06-18,FBADS-757-106147803,"1,00","0,88","0,12",paga,Glauber_Meta_2026-06-18_NF106147803.pdf
