id	sale_price
184394996	710.39 BRL
184793054	758.39 BRL
184802189	758.39 BRL
184804003	758.39 BRL
184807408	758.39 BRL
184813392	699.98 BRL
184815354	758.39 BRL
184818151	671.99 BRL
184820744	81.59 BRL
186318571	182.39 BRL
186333268	182.39 BRL
186375940	249.59 BRL
186382342	249.59 BRL
186392679	95.99 BRL
186400458	134.39 BRL
186442020	57.59 BRL
186447383	57.59 BRL
186466702	67.19 BRL
186475991	38.39 BRL
186484972	38.39 BRL
186490753	33.59 BRL
186533756	95.99 BRL
186540227	95.99 BRL
186546226	95.99 BRL
186550065	95.99 BRL
186558068	95.99 BRL
186562325	95.99 BRL
197519579	133.43 BRL
225400215	699.98 BRL
225405875	699.98 BRL
225421696	158.39 BRL
259583221	230.39 BRL
259584847	172.79 BRL
260613083	172.79 BRL
260613569	153.59 BRL
260613934	172.79 BRL
260614458	172.79 BRL
268092108	758.39 BRL
333416067	699.98 BRL
333418197	699.98 BRL
333419796	699.98 BRL
333421392	844.79 BRL
333422571	699.98 BRL
333423771	699.98 BRL
333425255	844.79 BRL
333434896	1343.99 BRL
333435986	1343.99 BRL
333476196	1535.99 BRL
333479606	1343.99 BRL
334073514	1295.99 BRL
334079397	1391.99 BRL
334083683	1430.39 BRL
334085670	1247.99 BRL
334152177	1343.99 BRL
334156477	1391.99 BRL
334185646	1199.99 BRL
334191151	1343.99 BRL
336657995	67.19 BRL
336661450	38.39 BRL
336663262	38.39 BRL
336666368	33.59 BRL
336675424	10.55 BRL
336676555	10.55 BRL
336677750	10.55 BRL
336679195	10.55 BRL
337073966	124.79 BRL
337076504	211.19 BRL
337078789	211.19 BRL
337080548	211.19 BRL
337082463	172.79 BRL
337084062	211.19 BRL
337086040	211.19 BRL
337087879	211.19 BRL
340842037	86.39 BRL
340843354	86.39 BRL
340846586	19.19 BRL
340849583	23.99 BRL
340850279	23.99 BRL
340851097	23.99 BRL
340862311	8.63 BRL
340867654	28.79 BRL
340872455	38.39 BRL
341214129	81.59 BRL
414919665	1247.99 BRL
414925604	1247.99 BRL
414942147	1247.99 BRL
414942853	1247.99 BRL
414955569	364.79 BRL
417274637	758.39 BRL
417280547	1727.99 BRL
417283759	1727.99 BRL
417286114	1919.99 BRL
417287913	1775.99 BRL
417291047	1775.99 BRL
417292789	1910.39 BRL
417299108	393.59 BRL
417299567	393.59 BRL
421377482	835.19 BRL
421379093	767.99 BRL
421380245	767.99 BRL
421381548	835.19 BRL
421382428	835.19 BRL
421383541	835.19 BRL
421384371	767.99 BRL
421389906	835.19 BRL
421390459	767.99 BRL
421391386	767.99 BRL
421394186	767.99 BRL
421394789	767.99 BRL
421395917	767.99 BRL
421397461	767.99 BRL
421399021	835.19 BRL
421407046	489.59 BRL
421409925	479.99 BRL
429433746	863.99 BRL
430314286	739.19 BRL
430317042	57.59 BRL
430341383	739.19 BRL
430345407	739.19 BRL
430347833	806.39 BRL
430361672	806.39 BRL
430366433	806.39 BRL
430371984	806.39 BRL
430375756	806.39 BRL
430377909	806.39 BRL
430379602	739.19 BRL
430384409	806.39 BRL
430390246	739.19 BRL
430391263	739.19 BRL
430392179	739.19 BRL
430418795	19.19 BRL
456805319	393.59 BRL
456813310	124.79 BRL
456815772	143.99 BRL
456817814	143.99 BRL
456822352	143.99 BRL
456825072	158.39 BRL
459723036	196.79 BRL
459728396	191.99 BRL
467763511	95.99 BRL
474722089	23.99 BRL
474723500	23.99 BRL
474724284	23.99 BRL
474725019	23.99 BRL
489089958	220.79 BRL
489090644	201.59 BRL
489090916	220.79 BRL
489092120	220.79 BRL
489092616	220.70 BRL
489092835	220.79 BRL
489129516	383.99 BRL
489129817	499.19 BRL
489130897	499.19 BRL
489131447	499.19 BRL
489133716	35.51 BRL
489133818	35.51 BRL
489134082	38.39 BRL
489134323	35.51 BRL
489134471	35.51 BRL
489135289	33.59 BRL
490190594	278.39 BRL
490191581	297.59 BRL
490192549	364.79 BRL
490193347	403.19 BRL
490193955	273.58 BRL
490194268	278.39 BRL
490194617	278.39 BRL
490194890	302.29 BRL
490195302	297.59 BRL
490195658	297.59 BRL
490196006	364.79 BRL
490613108	364.79 BRL
490614694	364.79 BRL
490616366	403.19 BRL
490618238	403.19 BRL
490619669	403.19 BRL
490633003	86.39 BRL
490637100	86.39 BRL
490644545	115.19 BRL
490648397	57.59 BRL
490649052	57.59 BRL
490651784	57.59 BRL
490660498	10.55 BRL
490661804	10.55 BRL
490663596	10.55 BRL
495981632	211.19 BRL
530572893	211.19 BRL
530578709	211.19 BRL
530587261	211.19 BRL
530752516	854.39 BRL
530758301	758.39 BRL
530766364	758.39 BRL
530774839	758.39 BRL
530775614	758.39 BRL
530779176	787.19 BRL
530787910	815.99 BRL
534849357	604.79 BRL
534906275	38.39 BRL
538919183	220.70 BRL
538920799	201.59 BRL
538922291	201.59 BRL
538923298	201.59 BRL
538924535	239.99 BRL
538925326	220.79 BRL
538926127	220.79 BRL
538926672	201.59 BRL
539040084	691.19 BRL
539046860	691.19 BRL
539050949	691.19 BRL
539051827	691.19 BRL
539052911	662.39 BRL
539053924	691.19 BRL
539064269	518.39 BRL
539072127	499.19 BRL
539073438	499.19 BRL
539102110	479.99 BRL
539105986	479.99 BRL
539107018	441.59 BRL
539108381	479.99 BRL
539111313	508.79 BRL
539115259	441.59 BRL
543920302	57.59 BRL
543921430	57.59 BRL
548207391	86.39 BRL
548208625	86.39 BRL
548209554	86.39 BRL
550365600	172.79 BRL
550366741	148.31 BRL
566413084	23.03 BRL
566413936	9.59 BRL
568333526	863.99 BRL
568344780	863.99 BRL
568347337	863.99 BRL
568352562	931.19 BRL
568357395	931.19 BRL
568358575	931.19 BRL
568360670	931.19 BRL
568362496	1151.99 BRL
568390084	931.19 BRL
568391835	863.99 BRL
568394877	1151.99 BRL
568396688	863.99 BRL
568398831	863.99 BRL
568401214	931.19 BRL
568406808	575.99 BRL
568408930	556.79 BRL
568410506	556.79 BRL
568416193	931.19 BRL
568417289	863.99 BRL
568418621	931.19 BRL
568420782	931.19 BRL
568422051	931.19 BRL
568851684	95.99 BRL
584121626	14.39 BRL
584130212	23.99 BRL
584131998	17.27 BRL
584145577	62.39 BRL
584149223	38.39 BRL
584162011	201.59 BRL
584164606	201.59 BRL
584337112	28.79 BRL
584343021	28.79 BRL
584347761	28.79 BRL
