id,title,brand,custom_label_0,custom_label_1,sale_price
3892,Corozita Botão 4 Furos mesclado pct/144 un 1189-18 - 1189-403 Vermelho,Corozita,,,20.22 BRL
3855,Corozita Botão 2 furos perolado embalagem c/144 unidades 1020 - 28 =18mm,Corozita,,TOPO_BUSCA,29.06 BRL
3859,Corozita Botão 2 furos perolado embalagem c/144 unidades 1020 - 20 = 13mm,Corozita,,TOPO_BUSCA,13.66 BRL
3858,Corozita Botão 2 furos perolado embalagem c/144 unidades 1020 - 22 = 14mm,Corozita,,TOPO_BUSCA,16.39 BRL
3854,Corozita Botão 2 furos perolado embalagem c/144 unidades 1020 - 30 = 19mm,Corozita,,TOPO_BUSCA,10.82 BRL
2961,Trader Cordão trançado 1299 - 2cm x 20m - 5810 - 10,Trader,,,42.61 BRL
27072,Lacinho de Cetim mini - 100 unidades - RO51-marinh13,Roma Aviamentos,,,4.60 BRL
27075,Lacinho de Cetim mini - 100 unidades - RO51-salmon47,Roma Aviamentos,,,4.60 BRL
1049,Ponteira Sininho 8009 Ouro velho pct. com 50un. - 1270,Roma Aviamentos,,,12.57 BRL
4004,Corozita Botão 4 furos transparente preto c/144 unidades - 3701 - 20 = 13mm,Corozita,,,16.94 BRL
4003,Corozita Botão 4 furos transparente preto c/144 unidades - 3701 - 22 = 14mm,Corozita,,,18.79 BRL
4005,Corozita Botão 4 furos transparente preto c/144 unidades - 3701 - 18 = 11mm,Corozita,,,13.11 BRL
4001,Corozita Botão 4 furos transparente preto c/144 unidades - 3701,Corozita,,,13.11 BRL
4002,Corozita Botão 4 furos transparente preto c/144 unidades - 3701 - 24 = 15mm,Corozita,,,28.41 BRL
4006,Corozita Botão 4 furos transparente preto c/144 unidades - 3701 - 16 = 10mm,Corozita,,,13.11 BRL
9591,Ponto Curva - São José - 13mm x 10m - 7010/V - 7390-Laranja.,São José,,,11.48 BRL
7097,Agulha para Malha e Tecidos Elásticos - 2045 Blister com 10 un - Máquina doméstica Singer - 21,Singer,,TOPO_BUSCA,11.14 BRL
7099,Agulha para Malha e Tecidos Elásticos - 2045 Blister com 10 un - Máquina doméstica Singer - 16,Singer,,TOPO_BUSCA,11.14 BRL
