item_group_id (produto pai),produto,variacoes_afetadas,marca_atual,marca_correta,ids_das_variacoes
51219,Fio Cordonê Mais Círculo 100g 140m 714 Tex 100% Poliamida para Crochê e Artesanato,30,Roma Aviamentos,Circulo,115303 115308 115305 115296 115315 115314 115288 115306 115289 115295 115285 115292 115293 115291 115298 115287 115310 115290 115300 115311 115299 115312 115301 115302 115309 115307 115286 115297 115294 115313
51226,"Kit Amigurumi Ursinhos Soft Círculo Florzinha, Mel e Soneca 493317",1,Roma Aviamentos,Circulo,115345
51341,Fio Charme Círculo 150g 396m Linha 100% Algodão Mercerizado para Crochê,33,Roma Aviamentos,Circulo,116297 116290 116294 116291 116284 116292 116293 116272 116279 116277 116298 116286 116304 116308 116302 116274 116307 116273 116310 116299 116305 116282 116306 116271 116295 116311 116301 116287 116313 116288 116303 116283 116285
51345,Fio Lolita Círculo TEX 400 250m 100g para Crochê e Tricô,11,Roma Aviamentos,Circulo,116488 116486 116484 116487 116479 116480 116490 116489 116482 116483 116485
51225,Agulha de Crochê Soft Coleção Peanuts Círculo 493465,1,Roma Aviamentos,Circulo,115337
51350,Fio Náutico Poly Círculo 5mm 500g 177m 100% Poliéster,1,Roma Aviamentos,Circulo,116691
51349,Fio Náutico Círculo 5mm 208m 500g 100% Polipropileno,1,Roma Aviamentos,Circulo,116664
51351,Fio Náutico Poly Slim Círculo 3mm 400g 350m 100% Poliéster,1,Roma Aviamentos,Circulo,116717
51346,Fio Mais Bebê Círculo TEX 200 500m 100g 100% Acrílico para Crochê e Tricô,33,Roma Aviamentos,Circulo,116497 116522 116493 116503 116491 116500 116519 116492 116506 116520 116498 116521 116524 116505 116514 116495 116501 116518 116508 116504 116515 116494 116507 116499 116511 116502 116517 116496 116523 116516 116512 116509 116510
51232,Fio Puffy Círculo 200g 7142 TEX 28m 100% Poliéster,13,Roma Aviamentos,Circulo,115405 115399 115404 115410 115408 115403 115406 115409 115401 115407 115402 115400 115398
51253,Kit Meu Primeiro Amigurumi Coleção Bicho Bola 2 Círculo 448656,1,Roma Aviamentos,Circulo,115436
51217,Fio Inlove Círculo 100g 155m 641TEX 100% Algodão para Crochê e Tricô,1,Roma Aviamentos,Circulo,115255
51338,Fio Anne Círculo 19g 65m Linha Crochê Algodão Mercerizado,53,Roma Aviamentos,Circulo,116143 116157 116190 116139 116169 116160 116173 116174 116131 116165 116182 116135 116144 116141 116192 116152 116162 116164 116178 116188 116175 116133 116132 116154 116166 116168 116158 116176 116147 116161 116186 116149 116142 116191 116153 116187 116189 116194 116140 116137 116171 116163 116170 116177 116167 116136 116179 116151 116150 116184 116146 116180 116181
