marca_correta,item_group_id (produto pai),produto,variacoes_afetadas,marca_atual,ids_das_variacoes
Princess Ribbon,50230,Fita Organza Princess 25mm x 9m RO.153742,18,Roma Aviamentos,111274 111275 111260 111265 111272 111261 111266 111270 111264 111271 111269 111267 111273 111263 111277 111262 111276 111268
Princess Ribbon,49817,Fita Organza Fosca Princess - 22mm x 9m - RO.153560,17,Roma Aviamentos,109271 109266 109270 109267 109269 109264 109262 109274 109261 109268 109275 109258 109260 109272 109263 109265 109273
Princess Ribbon,49818,Fita Organza Fosca Princess - 10mm x 9m - RO.153560,16,Roma Aviamentos,109284 109286 109293 109287 109277 109276 109288 109291 109292 109285 109289 109283 109282 109279 109280 109290
Princess Ribbon,50229,Fita Organza Princess 38mm x 9m RO.153742,14,Roma Aviamentos,111251 111248 111243 111250 111256 111245 111249 111259 111255 111247 111253 111254 111252 111258
Princess Ribbon,49815,Fita Organza Fosca Princess - 38mm x 9m - RO.153560,13,Roma Aviamentos,109226 109222 109232 109223 109225 109228 109227 109231 109235 109224 109229 109234 109238
Princess Ribbon,50644,Cartela Strass Adesiva Princess RO.152446,9,Roma Aviamentos,112655 112664 112660 112661 112658 112659 112663 112657 112656
Princess Ribbon,50231,Fita Organza Metalizada Princess 8mm x 9m RO.152261,8,Roma Aviamentos,111282 111284 111283 111278 111279 111281 111280 111286
Princess Ribbon,51252,"Aplique Flor Bordado Princess 2cm x 3,5cm 20 unidades Patch Decorativo ROFR.154942",4,Roma Aviamentos,115434 115430 115433 115431
Princess Ribbon,51223,Tesoura de Costura Profissional Alfaiate Titânio Princess Corte Preciso UT.956,4,Roma Aviamentos,115326 115328 115327 115325
Princess Ribbon,41312,Fita Tule com Borda de Pérola Princess Parceiras - Sophia Laçarotes - 40mm x 10m - RO.150873,3,Roma Aviamentos,82416 82413 85708
Princess Ribbon,49706,Fita Estampada Princess - 9m - Escolar - RO.153644,3,Roma Aviamentos,108384 108382 108383
Princess Ribbon,49704,Fita Estampada Princess - 9m - Escolar - RO.153642,3,Roma Aviamentos,108377 108376 108378
Princess Ribbon,49705,Fita Estampada Princess - 9m - Escolar - RO.153643,3,Roma Aviamentos,108379 108381 108380
Princess Ribbon,49819,Aplique Flor Strass com Pérola Princess - 30mm - Branco - RO.153646,3,Roma Aviamentos,109294 109296 109295
Princess Ribbon,49758,Cartela Strass Adesiva Princess - Flor - 40 unidades - RO.152090,2,Roma Aviamentos,108726 108727
Princess Ribbon,49967,Enfeite Palitos Princess Coelhos e Cenoura 14cm Sortido Decoração Criativa para Festas RO.153788,2,Roma Aviamentos,109693 109691
Princess Ribbon,49727,Cartela Strass Adesiva Estrela Princess - 312 unidades - RO.153328,2,Roma Aviamentos,108431 108432
Princess Ribbon,49968,Enfeite Palitos Princess Coelho Branco 14cm Decoração Criativa para Festas e Artesanato RO.153789,2,Roma Aviamentos,109695 109694
Princess Ribbon,49725,Cartela Strass Adesiva Estrela Princess - RO.153326,1,Roma Aviamentos,108423
Princess Ribbon,49726,Cartela Strass Adesiva Estrela Princess - 198 unidades - RO.153327,1,Roma Aviamentos,108428
Princess Ribbon,50244,Cartela Strass Adesiva Princess RO.153746,1,Roma Aviamentos,111333
Princess Ribbon,50659,Cartela Strass Coração Adesiva Princess RO.152439,1,Roma Aviamentos,112686
Princess Ribbon,50667,"Fita Natalina Aramada Princess Quadrados 6,3cm x 9,14m RO.154432",1,Roma Aviamentos,112721
Princess Ribbon,49729,Cartela Strass Adesiva Princess - 147 unidades - RO.153329,1,Roma Aviamentos,108448
Princess Ribbon,50658,Cartela Strass Concha Adesiva Princess RO.152089,1,Roma Aviamentos,112677
Princess Ribbon,49730,Cartela Strass Adesiva Princess - 190 unidades - RO.153330,1,Roma Aviamentos,108452
Princess Ribbon,avulso_117045,Fita Flor Natal Princess 38mm x 10m RO.150404,1,Roma Aviamentos,117045
Princess Ribbon,avulso_116050,Trena Chaveiro Princess 150cm Lilás Fita Métrica Portátil para Costura,1,Roma Aviamentos,116050
Xikkye,51287,Ponteira Xikkye Acrílica 22mm x 18mm 500 gramas/141 unidades para Artesanato e Acessórios RO.154962,12,Roma Aviamentos,115556 115553 115558 115557 115551 115554 115560 115555 115552 115559 115562 115561
Xikkye,51282,Ponteira Xikkye Acrílica 13mm x 8mm 500 gramas/ 1080 unidades para Artesanato e Acessórios RO.154967,12,Roma Aviamentos,115500 115504 115496 115495 115503 115499 115505 115494 115502 115501 115498 115497
Xikkye,51275,"Porta Crachá Retrátil Xikkye 3,2cm 20 unidades RO.155149",12,Roma Aviamentos,115471 115467 115473 115470 115469 115465 115468 115475 115472 115474 115466 115464
Xikkye,51284,Ponteira Xikkye Acrílica 17mm x 13mm 500 gramas/740 unidades para Artesanato e Acessórios RO.154965,11,Roma Aviamentos,115522 115520 115527 115517 115518 115525 115521 115519 115526 115523 115524
Xikkye,51230,Chaveiro de Pelúcia Monstrinho Xikkyê 9cm 10 unidades RO.154983,8,Roma Aviamentos,115387 115389 115382 115388 115383 115385 115386 115384
